INFO 2023-10-30 01:02:56,940 Watching for file changes with StatReloader
WARNING 2023-10-30 02:06:55,363 "GET /static/plugins/Datatables/pdfmake.min.js.map HTTP/1.1" 404 1870
INFO 2023-10-30 02:06:55,633 "POST /site-config HTTP/1.1" 200 10562
WARNING 2023-10-30 02:06:55,888 "GET /static/plugins/Datatables/pdfmake.min.js.map HTTP/1.1" 404 1870
INFO 2023-10-30 02:06:55,913 "POST /site-config HTTP/1.1" 200 10562
WARNING 2023-10-30 02:06:56,138 "GET /static/plugins/Datatables/pdfmake.min.js.map HTTP/1.1" 404 1870
INFO 2023-10-30 02:07:58,337 "GET /site-config HTTP/1.1" 200 10547
INFO 2023-10-30 02:14:45,994 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\views.py changed, reloading.
INFO 2023-10-30 02:14:46,511 Watching for file changes with StatReloader
INFO 2023-10-30 02:14:50,812 "POST /site-config HTTP/1.1" 200 10692
INFO 2023-10-30 02:15:05,437 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\views.py changed, reloading.
INFO 2023-10-30 02:15:05,970 Watching for file changes with StatReloader
INFO 2023-10-30 02:15:09,257 "POST /site-config HTTP/1.1" 200 10692
INFO 2023-10-30 02:15:10,889 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:15:11,708 "GET /site-config HTTP/1.1" 200 10547
INFO 2023-10-30 02:15:14,801 "GET /site-config HTTP/1.1" 200 10547
INFO 2023-10-30 02:15:15,320 "GET /site-config HTTP/1.1" 200 10547
INFO 2023-10-30 02:15:15,527 "GET /site-config HTTP/1.1" 200 10547
INFO 2023-10-30 02:16:01,432 "POST /site-config HTTP/1.1" 200 10726
INFO 2023-10-30 02:17:19,780 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\views.py changed, reloading.
INFO 2023-10-30 02:17:20,299 Watching for file changes with StatReloader
INFO 2023-10-30 02:17:26,497 "POST /site-config HTTP/1.1" 200 10726
INFO 2023-10-30 02:17:33,137 "POST /site-config HTTP/1.1" 200 10732
INFO 2023-10-30 02:19:57,754 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\views.py changed, reloading.
INFO 2023-10-30 02:19:58,269 Watching for file changes with StatReloader
INFO 2023-10-30 02:20:06,172 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:07,187 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:07,667 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:07,861 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:08,248 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:08,508 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:08,850 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:09,218 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:09,430 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:09,627 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:09,825 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:10,008 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:10,212 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:10,585 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:10,930 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:16,290 "POST /site-config HTTP/1.1" 200 10724
INFO 2023-10-30 02:20:17,524 "GET /site-config HTTP/1.1" 200 10547
INFO 2023-10-30 02:20:18,026 "GET /site-config HTTP/1.1" 200 10547
INFO 2023-10-30 02:20:18,933 "POST /site-config HTTP/1.1" 200 10726
INFO 2023-10-30 02:20:21,331 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:20:22,035 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:20:22,360 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:20:22,676 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:20:24,802 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:23:23,507 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:23:24,030 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:23:24,200 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:23:24,370 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:23:24,691 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:27:15,391 "POST /site-config HTTP/1.1" 200 10728
INFO 2023-10-30 02:27:16,235 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:27:17,242 "GET /site-config HTTP/1.1" 200 10567
INFO 2023-10-30 02:27:35,559 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:27:37,163 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:27:39,001 "GET /site-config HTTP/1.1" 200 10567
INFO 2023-10-30 02:28:15,170 "GET /site-config HTTP/1.1" 200 10567
INFO 2023-10-30 02:28:15,519 "GET /site-config HTTP/1.1" 200 10567
INFO 2023-10-30 02:28:15,720 "GET /site-config HTTP/1.1" 200 10567
INFO 2023-10-30 02:28:15,891 "GET /site-config HTTP/1.1" 200 10567
INFO 2023-10-30 02:28:37,721 "GET /site-config HTTP/1.1" 200 10576
INFO 2023-10-30 02:28:41,853 "POST /site-config HTTP/1.1" 200 10763
INFO 2023-10-30 02:31:15,346 "POST /site-config HTTP/1.1" 200 10763
INFO 2023-10-30 02:31:16,185 "GET / HTTP/1.1" 200 9036
INFO 2023-10-30 02:31:17,248 "GET /site-config HTTP/1.1" 200 10576
INFO 2023-10-30 02:31:20,801 "POST /site-config HTTP/1.1" 200 10761
INFO 2023-10-30 02:31:25,888 "POST /site-config HTTP/1.1" 200 10761
INFO 2023-10-30 02:31:27,132 "GET / HTTP/1.1" 200 9036
INFO 2023-10-30 02:31:27,770 "GET /site-config HTTP/1.1" 200 10576
INFO 2023-10-30 02:31:28,118 "GET /site-config HTTP/1.1" 200 10576
INFO 2023-10-30 02:32:52,949 "POST /site-config HTTP/1.1" 200 10755
INFO 2023-10-30 02:32:52,962 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-10-30 02:32:52,968 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-10-30 02:32:52,971 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-10-30 02:32:52,971 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-10-30 02:32:52,972 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-10-30 02:32:52,973 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-10-30 02:32:52,973 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
